username	main	talk	user	usertalk
Davidmasson93	2	0	0	0
DavidMichie	8	0	1	0
Davosamui	9	0	0	0
Dawgman1981	1	0	0	0
Dawn of the ocean	1	0	0	0
Dazzledstar	2	0	0	0
Dbat	2	0	0	0
Dbin78	3	0	0	0
Dchi5555	1	0	0	0
Dclose1986	1	0	0	0
Dcopper	2	0	0	0
Deano118	1	0	0	0
Dearleibniz	1	0	0	0
Debatingsa	4	0	0	0
Debbiegreen623	2	1	0	0
DeepakChandran	2	0	0	0
Defupteefew	1	0	0	0
Deggy09	1	0	0	0
Dejavu63	4	2	0	0
Deltaphiotto	1	0	0	0
Deltaqueen70	8	0	0	0
Denterprises	1	0	0	0
Denzegga	1	0	0	0
Deoxys75	2	0	0	0
DerDeutsche	2	0	0	0
Derfb	3	0	0	1
Dermanji	1	0	0	0
Dermonk	3	0	0	0
DesertWanderer	2	0	0	0
Detroitruleza	4	0	0	0
Deucemeister	5	0	1	16
Deusex.sosoe	1	0	1	2
Dewert25	5	0	0	0
Dgeorgehu	5	0	0	0
Dhammaruchi	16	0	0	0
Dhdale	40	0	0	0
Dholwick	1	0	0	0
Dhsbsu88	1	0	0	0
Dhughes	1	0	0	0
Diamondsandpearls	124	12	5	9
Dianabusuioc11	4	0	0	0
Diegovc84	1	0	0	0
DigitalSorcerer	16	0	0	0
Diizy	6	3	1	0
Dillpickle24	5	0	0	0
Dinarabaggy	13	2	0	1
Dingsoyr	1	0	0	0
Dirarte	29	0	1	1
Director Magda	5	0	0	0
Dirkworld	2	0	0	0
DiscoverMyHeart	1	0	0	0
DJ Clayworth	2511	801	13	870
DJDaveO	1	0	0	0
Djidel	2	0	0	0
DJjeff2012	1	0	0	0
Djkaiger	7	0	0	0
Dlouismusic	5	0	0	0
Dlshaw3	3	0	0	0
Dmahh	4	0	2	0
Dmerkin	2	0	0	0
Dmropp516	1	0	0	0
Dnfreitag2	3	0	0	0
Dobbyking1	8	0	0	0
Docdave	4	2	0	0
Docodacolon	1	0	0	0
Doctorandrewtam	5	0	1	0
Doctorhawkes	486	6	10	15
Doctorsnaama	9	0	0	0
Dogfacedherman	2	0	3	0
Dolan123	2	0	0	0
Dollarday	2	0	0	0
Dollarhane	1	0	0	0
Dombki	1	0	0	0
Don Dueck	13	1	2	0
Dookle999	3	0	2	0
Doomebrae	1	0	0	0
Dottorre	182	11	17	2
Dougiebeck	25	2	0	0
Dovydas of Lithuania	3	0	0	0
Downsouthslim	16	0	0	0
Downtownerie	44	0	0	0
Dozenne	9	0	2	0
Dp firewalker	16	1	0	0
Dprevite	4	0	0	0
DQFTL	1	0	0	0
Dquill1978	1	0	0	0
Dr. Rainer W. Kuehne	1	0	2	0
Dragonlordman	9	0	0	0
DragonRider12	3	0	0	0
Dragster9	2	0	0	0
Drake Redcrest	79	6	0	7
Drakebashaw	1	0	0	0
Drankbanktank	2	0	0	0
Drdave259	5	0	0	0
Drdru22	1	0	0	0
Drmartijn	4	0	0	0
Drnjr31	1	0	0	0
Drover50	4	0	0	0
DrRamanathan	2	0	0	0
Drtombo	2	0	0	0
DrumDivot	12	0	0	0
DRWilsonAcademic	5	0	0	0
Drwooster	1	0	0	0
DSatz	8	1	0	0
Dspiper	2	0	0	0
Dualactionblend	3	0	0	0
Duds 2k	36	11	0	0
Duke2010	1	0	0	0
Dukeswell	3	0	0	0
Duketennisking	2	0	9	0
Dullsteamer	1	6	0	0
Dunadin	1	0	0	0
Duncanbrown1982	40	0	0	0
Dunkane	3	0	0	0
Dunkelweizen	1	0	0	0
Dunmirehollow	1	0	0	0
Dush68	2	0	0	0
Dvd03	1	0	0	0
Dvdmhr	1	0	0	0
Dwayneg90	14	0	1	0
DxAqTa	1	0	0	1
Dzbostonfan	2	0	0	0
Dzubint	61	6	1	4
E sandrs	1	0	0	0
E.gor	4	0	0	0
E.peetam	5	0	0	0
E23R0	1	0	0	0
Eagerflyer	5	29	0	0
Eaglesfan5936	1	0	0	0
Eastendersno1fan	5	0	0	0
Easterpig	1	0	0	0
Eastryjeep	1	0	0	0
Ebeckjord	8	0	1	0
Ebee2	1	0	23	0
EBennearts	1	0	0	0
Ecrivain1	1	0	0	0
Edgarcharlesking	12	1	0	0
Edge Wave	1	0	0	0
Edisinsane	2	0	0	0
Editcount tester	7	1	1	1
EditorPaul	1	0	0	0
Edthespook	2	0	0	0
Edwardlandin	3	0	0	0
Edwindreillyjr	33	0	1	0
Efmer	3	0	0	0
Egermino	6	0	1	2
Eggheadmiller123	1	0	0	0
Eharman	4	0	0	0
Ehmjay	25	3	0	3
Ehudamir	3	0	0	0
Eigenzeitt Deux	31	0	3	3
Eklektofonic	2	0	0	0
Ekmad	1	0	0	0
Elbmek	1	0	0	0
ElCartero	35	0	0	0
Ele3000	3	0	0	0
Electric mud	2	0	0	0
Elements00	32	1	1	0
Elephantchoo	2	0	2	2
ElianeV	1	0	0	0
Elizapi	1	0	0	0
Ellisje	3	0	0	0
EllsworthSK	74	53	0	2
Elthamguy	1	0	0	0
Emelon8	1	0	0	0
Emily04	3	0	0	0
EmmaMae	180	5	0	6
